ticker,score,price,rsi14,pullback_pct_below_sma50,coil_ratio,rel_strength_pct_vs_spy,atr14,suggested_stop,suggested_target,risk_pct
NVDA,0.7,213.89999389648438,46.9,-0.25,0.778,1.33,7.52,202.61,236.47,5.28
MSFT,0.3,490.29998779296875,51.8,-6.66,1.008,32.43,10.62,474.37,522.16,3.25
