ticker,score,price,rsi14,pullback_pct_below_sma50,coil_ratio,rel_strength_pct_vs_spy,atr14,suggested_stop,suggested_target,risk_pct
JPM,0.7,353.55999755859375,48.2,-0.66,1.114,10.54,5.61,345.15,370.38,2.38
NVDA,0.3,218.36000061035156,49.8,-2.92,0.904,2.13,7.72,206.78,241.52,5.3
